,stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_type,stadium_capacity,stadium_surface,stadium_latitude,stadium_longitude,stadium_elevation
62,Memorial Stadium (Baltimore),"Baltimore, MD",1946,1997,outdoor,"900 E 33rd St, Baltimore, MD 21218",moderate,,,39.1733,-76.684,47.5
63,Memorial Stadium (Champaign),"Champaign, IL",2002,2002,outdoor,"1402 S 1st St, Champaign, IL 61820",cold,,,40.09916667,-88.23583333,
64,Memorial Stadium (Clemson),"Clemson, SC",1995,1995,outdoor,"1 Avenue of Champions, Clemson, SC 29634",moderate,,,,,
65,Mercedes-Benz Stadium,"Atlanta, GA",2017,,retractable,,indoor,71000,FieldTurf,33.755556,-84.4,
66,Mercedes-Benz Superdome,"New Orleans, LA",1975,,indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112",indoor,76468,FieldTurf,29.950833,-90.811111,
67,MetLife Stadium,"East Rutherford, NJ",2010,,outdoor,"1 MetLife Stadium Dr, East Rutherford, NJ 07073",cold,82500,FieldTurf,40.813528,-74.074361,2.1
68,Metropolitan Stadium,"Bloomington, MN",1959,1981,outdoor,"8000 Cedar Avenue South, Bloomington, Minnesota 55425",cold,,,44.8831,-93.2289,265.8
69,Mile High Stadium,"Denver, CO",1960,2000,outdoor,"1701 Bryant St, Denver, CO 80204",cold,,,39.74611111,-105.0216667,1611.2
70,New Era Field,"Orchard Park, NY",1973,,outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,73967,FieldTurf,42.774,-78.787,178.0
71,Nippert Stadium,"Cincinnati, OH",,,outdoor,"2700 Bearcats Way (99 W Corry St.), Cincinnati, OH 45221",cold,,Grass,,,
72,Nissan Stadium,"Nashville, TN",1999,2016,outdoor,"1 Titans Way, Nashville, TN 37213",moderate,69143,Grass,36.166389,-86.771389,182.9
73,NRG Stadium,"Houston, TX",2002,,retractable,"NRG Pkwy, Houston, TX 77054",indoor,71500,Grass,29.684722,-95.410833,13.4
74,Oakland Coliseum,"Oakland, CA",1966,,outdoor,"7000 Coliseum Way, Oakland, CA 94621",moderate,53250,Grass,37.751667,-122.200556,1.8
75,Orange Bowl,"Miami, FL",1946,1986,outdoor,"1501 NW 3rd St, Miami, FL 33125",warm,,,25.7905,-80.3163,8.8
76,Paul Brown Stadium,"Cincinnati, OH",2000,,outdoor,"1 Paul Brown Stadium, Cincinnati, OH 45202",cold,65515,FieldTurf,39.095,-84.516,193.9
77,Paycor Stadium,"Cincinnati, OH",2000,,outdoor,"1 Paul Brown Stadium, Cincinnati, OH 45202",cold,65515,FieldTurf,39.1,-84.51667,193.9
78,Pitt Stadium,"Pittsburgh, PA",,,outdoor,"Terrace Street, Pittsburgh, PA 15260",cold,,Grass,,,
79,Pontiac Silverdome,"Pontiac, MI",1975,2001,indoor,"1200 Featherstone Rd, Pontiac, MI 48342",indoor,,,42.64583333,-83.255,
80,Pro Player Stadium,"Miami, FL",,,,,warm,,,25.7905,-80.3163,8.8
81,Qualcomm Stadium,"San Diego, CA",1967,,outdoor,"9449 Friars Rd, San Diego, CA 92108",warm,71500,Grass,32.783056,-117.119444,145.4
82,Ralph Wilson Stadium,"Orchard Park, NY",1973,,outdoor,"1 Bills Dr, Orchard Park, NY 14127",cold,73967,FieldTurf,42.889,-78.8901,178.0
83,Raymond James Stadium,"Tampa, FL",1998,2016,outdoor,"4201 N Dale Mabry Hwy, Tampa, FL 33607",warm,65890,Grass,27.975833,-82.503333,5.8
84,RCA Dome,"Indianapolis, IN",1984,2007,indoor,"100 S Capitol Ave, Indianapolis, IN 46225",indoor,,,39.76361111,-86.16333333,
85,Reliant Stadium,"Houston, TX",2002,,retractable,"NRG Pkwy, Houston, TX 77054",indoor,71500,Grass,29.63806,-95.28194,13.4
86,RFK Memorial Stadium,"Washington, DC",1961,1996,outdoor,"2400 E Capitol St SE, Washington, DC 20003",moderate,,,38.9133,-76.97,15.2
